series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
1064,Mobile Suit Gundam The 08th MS Team,"Universal Century 0079. The One Year War has raged on for almost nine months. Now, the Federation is ready to strike back with its own mobile suits. Young Shiro Amada is en route to Earth to take command of a ground unit of Gundams fighting in the jungles of Southeast Asia. After being stranded in space with one of the enemy, Shiro is rescued and claims his command. But no sooner does he arrive than his team is given their marching orders. With barely time for introductions, the 08th MS teams heads into battle.",Animation and Cartoons|Anime~Anime - Science Fiction|International~Japanese,Animation and Cartoons,2596621
1065,Wahlburgers,"The American dream is alive and well in Boston, Massachusetts. From the streets of Dorchester to the red carpets of Hollywood, the city's most famous family has taken on a new sizzling business venture. Brothers Mark and Donnie Wahlberg have impressed us in the world of entertainment and now they are putting their efforts into joining their most talented sibling, Paul, as he sets out to make the family name as synonymous with burgers as Boston is to baked beans.",Reality and Game Shows~Real Life Drama|Documentaries,Reality and Game Shows~Real Life Drama,2916580
1066,Behind the Mask,"Behind the Mask dives into the colorful, unusual side of sports through the eyes of four mascots.",Documentaries|Sports,Documentaries,9652667
1067,Mister Ed,"Mister Ed is a talking horse who only seems to talk to his owner, Wilber Post. Mister Ed gets Wilber in trouble all the time with his crazy antics and mischief.",Comedy|Family|Classics,Comedy,4393203
1068,Full Metal Panic!,"Sousuke Sagara, a seventeen year old military specialist working for the secret organization MITHRIL, has been assigned to protect the latest ""Whispered"" candidate Kaname Chidori. To complete this task Sousuke will have to deal with enemies from his past as well as the occasional panty thief. Unfortunately for Sousuke, the toughest part of his mission isn't only protecting Miss Chidori but also getting used to living an average High School students life, no easy task for someone raised on the battlefield.",Anime|International~Japanese,Anime,8421458
1069,Hunting Hitler,"According to documents that were declassified by the FBI in 2014, Adolf Hitler may have survived World War II and fled to South America following the fall of Nazi Germany. In this series a team of investigators Ñ led by 21-year CIA veteran Bob Baer and war crimes investigator John Cencich Ñ undertakes a definitive search with the goal of finding out whether the notorious dictator actually survived the war and pulled off one of historyÕs greatest disappearing acts. The team uncovers a mysterious Nazi lair in the Argentinean jungle and searches for evidence of a missing U-boat that may have transported Hitler out of Europe as Germany collapsed.",Documentaries,Documentaries,1389789
1070,Undefeated Bahamut Chronicle,"From the broken, charred pieces of the Arcadia Empire, a new kingdom arose. To protect itself from future foes, the new Kingdom of Atismata began training Drag-Knights to wield ancient mechanical dragons known as Drag-Rides. When Lux Arcadia, former prince of the ruined Empire, sights the new kingdomÕs princess, Lisesharte Atismata, naked, she challenges him to a Drag-Ride duel, beginning an odd chain reaction that will expose the dark secrets of both royal families.",Anime~Anime - Action Adventure|Anime~Anime - Fantasy,Anime~Anime - Action Adventure,6839123
1071,Please Like Me,"Life in your 20Õs can be undeniably hard.  At least it is for Josh in the critically acclaimed Please Like Me, a comedy that soothes the existential unrest of the under-30 crowd. As Josh and his friends muddle through life, sex gets complicated, relationships wax and wane, friends struggle to see eye to eye, and the dog always steals the show. Simply put, everything is so delightfully awkward.",Comedy|International~Australian|LGBT,Comedy,4024403
1072,Maya and Yaya,"Welcome to the playful and adventurous world of Maya and Yaya, two plasticine elephants with very different personalities. The two friends support and encourage each other while overcoming obstacles and differences.",Kids|Animation and Cartoons,Kids,3811921
1073,La Reina del Sur,"Teresa Mendoza was born and raised in Culiac‡n, M_xico. Reina del Sur is the series that portrays her life story surrounded by corrupted cops, drug traffickers and dealers wrestling for control of the cocaine business between Colombia and the USA. Teresa and GŸero D‡vila live their love story. She is a fragile girl with a stolen childhood but quick on her feet and with great survival instincts, he on the other hand an aviation pilot of small aircrafts with too many secrets, charming and engaging, gentle and protective with Teresa, his first love, which heÕll never forget. The pilot of small aircrafts died for ignoring the rules and for talking too much. Teresa, as his love partner, was as guilty as him, trapped in the world of drug traffickers where the only rule is that there are no rules. Thus the die was cast for her and she had to escape from a M_xico torn by drug trafficking and corruption. So she hands over her boyfriendÕs agenda of contacts in exchange for her life. Don Epifanio Vargas sends her to Spain. There, she manages the financial affairs of a smuggler, the Galician (in Spanish, Gallego) Santiago Fisterra. The Galician falls in love with Teresa and she learns everything there is to be learned about drug trafficking, sea navigation and speedboats. SantiagoÕs business consists of smuggling hashish while evading the Spanish Guardia Civil Service. The operations in which Teresa gets involved are of such an amazing scale that she accumulates experience and along with the experience she also gets exposed to accomplices and traitors. In or out of prison she becomes rich and ever more powerful in the cocaine business. In Spain, she is known as la ÒReina del SurÓ (in English, the Queen of the South).",Drama~Telenovelas|Latino,Drama~Telenovelas,3601860
1074,Hot Package,"Hot Package is a live-action fictional Canadian entertainment news program in vein of ""Entertainment Tonight,"" ""EXTRA,"" or ""E! News.Ó Hot Package is created by and stars Derrick Beckles (TV Carnage), produced by Abso Lutely, with Derrick Beckles and Dave Kneebone as executive producers.",News and Information~Celebrity and Gossip|Comedy,News and Information~Celebrity and Gossip,6392102
1075,The Wildlife Docs,"The Wildlife Docs takes viewers inside the work of zoological professionals -- including veterinarians, technicians and trainers -- at Busch Gardens Tampa, as they care for thousands of exotic animals whose home is the popular tourist destination. The series showcases everything from preventive care to ground-breaking medical procedures, giving viewers the opportunity to observe what the millions of people who visit Busch Gardens each year rarely get to see. The hostess of the weekly half-hour series is actress Rachel Reenstra.",Documentaries,Documentaries,716719
1076,Voyage to the Bottom of the Sea,"The submarine Seaview, the world's only privately owned nuclear sub, investigates the mysteries and dangers of the sea.",Action and Adventure|Drama~Mystery,Action and Adventure,4987910
1077,Australia's Deadly Monsters,Some of the scariest and not to mention deadliest beings that you can find on the continent of Australia.,News and Information~Science and Technology,News and Information~Science and Technology,6454157
1078,All Saints,All Saints is an Australian medical drama focused on the nursing staff of Ward 17.,Drama~Medical Drama|International~Australian,Drama~Medical Drama,717373
1079,The Late Show with Stephen Colbert,"Stephen Colbert brings his signature satire and comedy to The Late Show with Stephen Colbert where he talks with an eclectic mix of guests about what is new and relevant in the worlds of politics, entertainment, business, music, technology and more.",News and Information~Talk and Interview|News and Information~Celebrity and Gossip,News and Information~Talk and Interview,8653537
1080,Lark Rise to Candleford,"Lark Rise, a small hamlet holding on to the past, and Candleford, a small market town bustling into the future, have a complicated relationship which is seen through the eyes of Laura, a young girl who visits both communities.",International~British|Drama,International~British,434157
1081,Runaways,"The mysterious disappereance of Mason and Kalee, Danbury Prep's most controversial couple, has the police questioning the students trying to solve the case of murder and runaways.",Drama~Mystery|Teen,Drama~Mystery,417611
